provider_id,first_name,last_name,specialty,npi,hospital,years_experience,board_certified,accepting_patients,phone,email,state
PRV0420, Michele,Haney,Pulmonology,1161620281,Metro University Hospital,8,Y,True,(937)410-6728,sross@example.org,NE
PRV0096,Tammy,Edwards,Rheumatology,6969155792,Lakeside Community Hospital,31,Y,False,+1-849-891-2513x41252,baileyhenderson@example.com,SC
PRV0359,Ryan,Morales,Dermatology,1559737147,Valley Medical Center,35,True,True,8822723590,kristine73@example.org,il
PRV0418,Timothy,Velez,Hematology,8836076581,Metro University Hospital,25,Y,False,739.406.3757x914,not provided,OR
PRV0358,Tiffany,Brown,FM,3802146296,Valley Medical Center,32,TRUE,False,936-371-5778,whitedaniel@example.com,WI
PRV0344,Amanda,irwin,Gastroenterology,9164983735,Greenfield Memorial,22,Y,True,939-462-7365x271,llopez@example.org,OK
PRV0274,Evelyn,Acevedo,Radiology,72081155,Valley Medical Center,17,Y,True,(706)202-9084x66845,rachel92@example.net,MO
PRV0351,Mary,Harrell,Radiology,252131096,Lakeside Community Hospital,24,True,Yes,(927)228-4765,daniel00@example.net,WV
PRV0307,John,Davis,Cardio,6005313122,Metro University Hospital,16,True,True,5688155839,nmartinez@example.org,MI
PRV0243,Tristan,Cruz,Gastroenterology,7947386463,Metro University Hospital,20,True,False,375-320-7167,ralphneal@example.org,WA
PRV0245, Jerry,Dunlap,Cardiology,101702695,Valley Medical Center,29,True,True,(549)691-1877,qhenry@example.net,MA
PRV0293,James ,Jones,Neurology,3779599594,Pacific Coast Medical Center,23,False,True,(552)917-0730x33793,lindsay63@example.com,HI
PRV0052,Justin,Cummings ,Endocrinology,9251925462,Greenfield Memorial,16,True,True,+1-214-786-5281x685,N/A,ID
PRV0171,Abigail,Cole,Oncology,2202341326,St. Mary's Medical Center,19,True,False,311-378-0068,christine16@example.com,IN
PRV0273,Cory,Holland,Family Medicine,5213760375,Metro University Hospital,5,True,True,482-814-5653x2863,dhardin@example.net,WY
PRV0376,Taylor,Cruz,Dermatology,7153988547,St. Mary's Medical Center,9,TRUE,True,+1-528-312-3567x9836,rodney49@example.net,CT
PRV0076,Jacqueline,Durham,Psychiatry,,St. Mary's Medical Center,8,False,True,001-410-788-3982,nwilson@example.net,OR
PRV0141,Katrina,Greene,Cardiology,5711305548,Greenfield Memorial,4,True,False,851.502.7261x49331,msummers@example.net,MA
PRV0480,TIFFANY,Austin,Radiology,8623392207,Lakeside Community Hospital,9,True,Y,001-415-311-6966x6725,michael64@example.com,CO
